Make,Model,Score,Price,Year,Mileage,Date,Source,OnSale,Days,Link,Image,Hash
Hyundai,Elantra,27.87859548,13000.0,2019,45000,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8364332,,638442000
Kia,Soul +,27.862353,13971.0,2018,23950,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8229678,https://img.ksl.com/mx/mplace-cars.ksl.com/2733291-1668323551-132877.jpg?filter=marketplace/400x300_dealer,147424254
Ford,Focus Se,27.850336726259044,10688.0,2016,67452,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8274819,,546241536
Hyundai,Sonata Sport,27.69548117338701,12995.0,2018,50194,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8326527,,713250824
Hyundai,Sonata Gls,27.4359797,9500.0,2010,34151,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8276115,https://img.ksl.com/mx/mplace-cars.ksl.com/1467918-1670751775-109736.jpg?filter=marketplace/400x300_dealer,483259570
Nissan,Sentra S,27.08765621,9995.0,2017,49087,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/7973478,,596209794
Mazda,Mazda3 Touring,26.46683162,13700.0,2017,35990,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8324723,,367945950
Ford,Fusion Se,26.23462612967516,13950.0,2015,59686,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8157595,,484333460
Nissan,Sentra S,26.082918531387243,8995.0,2017,59374,2023-02-15,KSL,False,5.0,https://cars.ksl.com/listing/8330611,,720415108
Chevrolet,Camaro Lt,26.06685582,14995.0,2015,32411,12/11/2022,KSL,False,,https://cars.ksl.com/listing/7522459,https://img.ksl.com/mx/mplace-cars.ksl.com/486347-1635542252-281538.jpg?filter=marketplace/400x300_dealer,591417270
Fiat,500e Base,26.01127286,14812.0,2017,23538,12/22/2022,KSL,False,,https://cars.ksl.com/listing/8249040,"Fiat_500e_2017_in_South_Jordan,_UT",189904584
Fiat,500e Base,26.01127286,14812.0,2017,23538,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8249040,,193370592
Chevrolet,Cruze L,25.405615699920304,13500.0,2017,49949,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8042379,,909086697
Nissan,Versa Sv,25.29937944,13995.0,2018,45187,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8269841,,549923196
Nissan,Leaf Sl,25.1203196,11000.0,2014,46123,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8315491,,559275332
Nissan,Rogue Sv,25.00890895,11999.0,2015,38000,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8227139,https://img.ksl.com/mx/mplace-cars.ksl.com/3022613-1668215299-217183.jpg?filter=marketplace/400x300_dealer,461915792
Nissan,Versa S,24.9808433,13970.0,2018,38141,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8017489,"Nissan_Versa_2018_in_Idaho_Falls,_ID",461811228
Chevrolet,Cruze,24.8291764,14711.0,2015,34120,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8252528,https://img.ksl.com/mx/mplace-cars.ksl.com/1467918-1669876699-567470.jpg?filter=marketplace/400x300_dealer,620678630
Toyota,Corolla Le,24.71076188,12995.0,2012,45000,12/22/2022,KSL,False,,https://cars.ksl.com/listing/8220757,"Toyota_Corolla_2012_in_Millcreek,_UT",543240000
Nissan,Leaf Sv,24.56334744327712,10900.0,2015,52000,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8383020,,630511200
Nissan,Sentra S,24.52755422,13595.0,2018,39179,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8209940,,476989572
Hyundai,Elantra Gt Base,24.46963403,12988.0,2014,43312,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8310912,,615288256
Volkswagen,Eos Executive Sulev,23.99418931,14999.0,2012,31501,12/22/2022,KSL,False,,https://cars.ksl.com/listing/8282948,"Volkswagen_Eos_2012_in_Salt_Lake_City,_UT",633800120
Ford,Escape Se,23.91531888,14995.0,2019,50000,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8282272,,406903965
Hyundai,Sonata Se,23.75897617,12900.0,2016,38991,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8326850,,552911292
Chevrolet,Cruze Lt Auto,23.59993088,11871.0,2018,42750,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8253496,,779974929
Nissan,Rogue Select S,23.40956123,11995.0,2015,39700,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8254158,"Nissan_Rogue_Select_2015_in_Orem,_UT",479973000
Chevrolet,Cruze Ls,23.298427864720576,9700.0,2017,62279,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8383430,,1132335487
Subaru,Impreza 2.0i,23.1801083,13990.0,2017,39000,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8352053,,475839240
Mazda,Mazda3 Grand Touring,22.99159501548981,11995.0,2016,54747,2023-02-11,KSL,False,11.0,https://cars.ksl.com/listing/8201457,,557127560
Nissan,Altima 2.5,22.77550711266755,12900.0,2016,53000,2023-02-11,KSL,False,11.0,https://cars.ksl.com/listing/8120897,,643926000
Hyundai,Sonata Sport,22.66091895766749,14999.0,2015,45604,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8383423,,647204156
Hyundai,Sonata Sport,22.16743308,13495.0,2018,50194,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8326527,,712603124
Hyundai,Veloster 2.0l,21.804911376779515,14500.0,2019,59000,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8383640,,837805500
Not recognized,None,21.65088937,13568.0,2020,50000,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8211199,"Polaris_Ranger_1000_2020_in_Rock_Springs,_WY",1414000000
Mini,Hardtop 2 Door Cooper,21.632641138808253,11995.0,2015,36873,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8310251,,302486175
Ford,Explorer Xlt,21.51621336,13999.0,2010,44901,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8130140,,364531788
Chevrolet,Sonic Ls,21.27956511,13748.0,2016,40428,12/22/2022,KSL,False,,https://cars.ksl.com/listing/8090742,"Chevrolet_Sonic_2016_in_Centerville,_UT",733525632
Hyundai,Tucson Se,21.26292219,14999.0,2018,48663,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8364338,,690248349
Nissan,Altima 2.5 S,21.05710216645869,12995.0,2015,53040,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8136448,,644528340
Chevrolet,Trax Ls,21.00694998,13500.0,2019,44174,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8047148,"Chevrolet_Trax_2019_in_Las_Vegas,_NV",802685754
Chevrolet,Trax Ls,21.00606097,13500.0,2019,44175,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8047148,,804688425
Subaru,Forester 2.5i,20.90419452728468,12995.0,2016,56000,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8270091,,680754700
Mazda,Mazda2 Sport,20.873464547993933,8995.0,2012,54618,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8383483,,551615880
Nissan,Versa Note Sr,20.83103394,14095.0,2018,42457,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8283049,,517734056
Volkswagen,Beetle 1.8t Se,20.74453477,13995.0,2017,41682,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8281994,,844644540
Nissan,Sentra Sv,20.72749414,13995.0,2018,42724,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8258984,"Nissan_Sentra_2018_in_Bountiful,_UT",517302192
Nissan,Sentra Sv,20.72749414,13995.0,2018,42724,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8258984,,519821292
Mazda,Mazda6 I Touring Plus,20.712188468918143,14900.0,2015,49200,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8024125,,501948000
Not recognized,None,20.58757372,13000.0,2018,50000,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8211198,"Polaris_RZR_S_900_2018_in_Rock_Springs,_WY",1412600000
Hyundai,Sonata Se,20.54952254,13900.0,2015,40000,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8271235,"Hyundai_Sonata_2015_in_Bountiful,_UT",564200000
