Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash,Exterior Color,Interior Color,Transmission,Trim,Engine,Certified Pre-Owned,Doors,Vin,Stock ID,Features,Comments,OnSale,Days
Ford,Focus,25.7016192,14995.0,2018,47105,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_96_8.png,382105935,,,,,,,,,,,,False,1.0
Ford,Focus,25.7016192,14995.0,2018,47105,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2152658825/ford/focus?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_77_9.png,382255885,,,,,,,,,,,,False,
Smart,Fortwo Electric Drive,25.69681906,12900.0,2016,25707,1/12/2023,CarsDirect,,Images/2023_01_12_57_18.png,265899060,,,,,,,,,,,,False,
Hyundai,Sonata,25.5393348,14995.0,2017,35000,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2160776862/hyundai/sonata?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_2_18.png,496594190,,,,,,,,,,,,False,
Hyundai,Sonata,25.5393348,14995.0,2017,35000,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2160776862/hyundai/sonata?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_105_18.png,494165000,,,,,,,,,,,,False,
Nissan,Versa,25.33187434,14599.0,2021,39900,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168684495/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_7_18.png,483827400,,,,,,,,,,,,False,
Mitsubishi,Mirage G4,25.318297768868497,10989.0,2017,38449,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_4_14.png,777988855,,,,,,,,,,,,False,1.0
Nissan,Versa,25.29937944,13995.0,2018,45187,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_193_4.png,548873571,,,,,,,,,,,,False,8.0
Chevrolet,Cruze,25.23436007,14429.0,2015,34120,12/29/2022,CarsDirect,,Images/2022_12_29_47_21.png,620569825,,,,,,,,,,,,False,
Nissan,Leaf,24.91930665714339,13811.0,2016,47319,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_16_7.png,573696480,,,,,,,,,,,,False,8.0
Nissan,Sentra,24.88834474,13862.0,2017,37377,1/12/2023,CarsDirect,,Images/2023_01_12_25_3.png,454332582,,,,,,,,,,,,False,
Nissan,Sentra,24.8811788,13867.0,2017,37377,12/29/2022,CarsDirect,,Images/2022_12_29_186_2.png,454333302,,,,,,,,,,,,False,
Mitsubishi,Mirage G4,24.880994117781803,11293.0,2017,38449,2023-02-11,CarsDirect,Not Found,Images/2023_02_11_178_14.png,777955618,,,,,,,,,,,,False,11.0
Smart,Fortwo Electric Drive,24.83130245,13500.0,2016,25707,12/29/2022,CarsDirect,,Images/2022_12_29_191_18.png,265930560,,,,,,,,,,,,False,
Chevrolet,Cruze,24.8291764,14711.0,2015,34120,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170354590/chevrolet/cruze?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_95_14.png,620678630,,,,,,,,,,,,False,
Nissan,Leaf,24.68460148732654,13975.0,2016,47319,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_108_8.png,573712224,,,,,,,,,,,,False,1.0
Ford,Focus,24.59341204,12620.0,2015,48754,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2167826926/ford/focus?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_144_3.png,394597840,,,,,,,,,,,,False,
Nissan,Sentra,24.4215642,14189.0,2017,37377,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168076309/nissan/sentra?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_113_1.png,454549938,,,,,,,,,,,,False,
Smart,Fortwo Electric Drive,24.26140249,13900.0,2016,25707,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2166758019/smart/fortwo-electric-drive?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_102_10.png,266424060,,,,,,,,,,,,False,
Nissan,Versa,24.1737059,13693.0,2021,42474,12/29/2022,CarsDirect,,Images/2022_12_29_133_13.png,516682884,,,,,,,,,,,,False,
Mitsubishi,Mirage G4,24.13953131,14588.0,2020,28895,12/29/2022,CarsDirect,,Images/2022_12_29_182_20.png,586830008,,,,,,,,,,,,False,
Mitsubishi,Mirage G4,24.13953131,14588.0,2020,28895,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2162873641/mitsubishi/mirage-g4?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_111_13.png,583679000,,,,,,,,,,,,False,
Volkswagen,Jetta,23.920005665325444,10200.0,2013,49308,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_148_3.png,993743040,,,,,,,,,,,,False,1.0
Chevrolet,Spark Ev,23.90601217,13615.0,2015,36739,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_103_9.png,668766925,,,,,,,,,,,,False,1.0
Volkswagen,Jetta,23.6389067251545,10400.0,2013,49308,2023-02-11,CarsDirect,Not Found,Images/2023_02_11_88_3.png,993766040,,,,,,,,,,,,False,11.0
Volkswagen,Jetta,23.24620659,14500.0,2016,37141,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2163899081/volkswagen/jetta?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_13_11.png,750502560,,,,,,,,,,,,False,
Nissan,Versa,23.24030169,14358.0,2021,42474,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168707065/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_146_14.png,515039724,,,,,,,,,,,,False,
Nissan,Versa,23.22870465,14249.0,2021,42650,1/12/2023,CarsDirect,,Images/2023_01_12_131_13.png,518812535,,,,,,,,,,,,False,
Nissan,Versa,23.07724271,14358.0,2021,42650,12/29/2022,CarsDirect,,Images/2022_12_29_71_17.png,518825070,,,,,,,,,,,,False,
Nissan,Versa,23.07724271,14358.0,2021,42650,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170712364/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_57_17.png,517173900,,,,,,,,,,,,False,
Bmw,I3,22.29884334,14995.0,2014,28735,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_86_13.png,174276650,,,,,,,,,,,,False,8.0
Mitsubishi,Mirage G4,22.19361652,11730.0,2017,38449,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_69_6.png,777838870,,,,,,,,,,,,False,8.0
Hyundai,Accent,22.07156609,10797.0,2017,44998,1/12/2023,CarsDirect,,Images/2023_01_12_2_2.png,636751966,,,,,,,,,,,,False,
Chevrolet,Malibu,21.827036739408285,14394.0,2015,48440,2023-02-11,CarsDirect,Not Found,Images/2023_02_11_46_16.png,880273044,,,,,,,,,,,,False,11.0
Nissan,Versa,21.81342011,13689.0,2021,45036,12/29/2022,CarsDirect,,Images/2022_12_29_179_12.png,547543881,,,,,,,,,,,,False,
Nissan,Altima,21.795727521236568,11400.0,2012,47403,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_78_20.png,573685416,,,,,,,,,,,,False,1.0
Kia,Forte,21.636469033114093,13999.0,2017,37575,2023-02-11,CarsDirect,Not Found,Images/2023_02_11_163_20.png,228836220,,,,,,,,,,,,False,11.0
Honda,Fit,21.53474857,13995.0,2015,50000,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2143836470/honda/fit?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_133_19.png,504715655,,,,,,,,,,,,False,
Honda,Fit,21.53474857,13995.0,2015,50000,1/12/2023,CarsDirect,,Images/2023_01_12_168_25.png,504631685,,,,,,,,,,,,False,
Bmw,I3,21.41690322724524,14489.0,2014,28735,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_37_16.png,174225408,,,,,,,,,,,,False,8.0
Bmw,I3,21.414214488783696,14491.0,2014,28735,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_148_22.png,174225492,,,,,,,,,,,,False,1.0
Nissan,Versa,21.14445048,14186.0,2021,45036,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168626374/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_88_13.png,546106536,,,,,,,,,,,,False,
Mitsubishi,Mirage,20.832778737133733,10427.0,2015,41925,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_23_2.png,846039990,,,,,,,,,,,,False,1.0
Fiat,500e,19.92243280831032,12890.0,2017,43176,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_200_1.png,349323608,,,,,,,,,,,,False,8.0
